Index,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
17,"Melnick, Danny",0.345,1.045,35-35,139,35,48,15,0,8,28,87,0.626,16,3,31,3,0.419,2,0,4-4
26,"Donofrio, Anthony",0.317,0.803,37-34,145,31,46,8,1,2,16,62,0.428,11,3,24,1,0.375,1,1,15-17
3,"O'Connor, Keegan",0.302,0.785,40-39,149,20,45,11,0,2,21,62,0.416,7,10,51,0,0.369,2,0,3-4
5,"Zimbardo, Jared",0.298,0.859,37-35,141,23,42,10,2,4,20,68,0.482,12,6,37,0,0.377,0,3,7-11
1,"Maves, Kyle",0.285,0.753,40-39,158,38,45,7,3,0,20,58,0.367,27,1,37,3,0.386,3,3,22-28
38,"Kohn, Michael",0.259,0.869,37-31,116,23,30,5,0,8,25,59,0.509,17,2,35,0,0.36,1,2,1-1
12,"Ostberg, Ian",0.313,0.899,26-25,99,13,31,9,0,4,25,52,0.525,10,2,22,0,0.374,4,1,3-7
24,"DeRosa, Matt",0.277,0.704,22-18,65,8,18,4,0,1,9,25,0.385,4,0,11,3,0.319,0,1,1-2
44,"McDermott, Andrew",0.275,0.927,26-16,51,11,14,4,0,2,12,24,0.471,13,4,20,0,0.456,0,0,4-4
16,"Thomas, Zak",0.273,0.793,4-3,11,3,3,1,0,0,1,4,0.364,2,1,7,0,0.429,0,1,0-0
4,"Tuffy, McGwire",0.245,0.712,30-28,94,19,23,1,1,1,7,29,0.309,12,13,22,0,0.403,0,1,2-4
8,"Arici, Gianni",0.244,0.62,16-8,41,5,10,1,0,1,7,14,0.341,2,0,10,1,0.279,0,0,0-0
13,"Swenson, Sean",0.205,0.809,18-13,44,8,9,0,0,3,9,18,0.409,10,5,12,0,0.4,1,0,0-1
2,"Uejima, Julian",0.2,0.533,11-5,15,7,3,0,0,0,2,3,0.2,2,1,6,0,0.333,0,0,3-3
22,"LaChance, Sam",0.195,0.657,29-21,82,18,16,3,0,3,14,28,0.341,10,5,26,2,0.316,1,1,1-2
33,"Mueller, Sebastian",0.189,0.57,23-19,74,4,14,3,0,2,11,23,0.311,5,2,20,3,0.259,0,1,1-1
7,"Seaburg, Braydon",0,0.333,8-0,2,1,0,0,0,0,1,0,0,1,0,2,0,0.333,0,0,1-1